id,city_bank,name,routing_bank,reserve,code_country
1,KANSAS CITY,NBH BANK,102101823,$865204865.63,US
2,KANSAS CITY,COMMERCE BANK,101000019,$496273302.07,US
3,DALEVILLE,FIRST MERCHANTS BANK,074913712,$754741788.32,US
4,SANTA MARIA,COMMUNITY BANK,122243237,$702464955.09,US
5,ALMA,FIRST NATIONAL BANK,061212866,$373826949.49,US
6,BUFFALO,HSBC BANK,028001081,$825598532.48,US
7,WEST PLAINS,COMMUNITY FIRST BANK,086518765,$56600689.66,US
8,OKLAHOMA CITY,FIRST FIDELITY BANK,122105728,$263387625.40,US
9,TUPELO,RENASANT BANK,084203043,$847829392.14,US
10,HERMITAGE,FIRST NATIONAL BANK,053112275,$38845016.66,US
11,SEVIERVILLE,CITIZENS NATIONAL BANK,064202255,$873108187.16,US
12,NAPERVILLE,BMO HARRIS BANK,071918309,$150938257.05,US
13,WILMINGTON,TD BANK,053201885,$300642412.90,US
14,CARLSBAD,PACIFIC WESTERN BANK,122041523,$509443634.41,US
15,WYOMISSING,SANTANDER BANK,231271161,$936989766.74,US
16,PITTSBURGH,PNC BANK,031100089,$813189358.19,US
17,CORSICANA,CITY NATIONAL BANK,111912197,$503619135.20,US
18,OMAHA,FIRST NATIONAL BANK,071918286,$466357673.61,US
19,ABERNATHY,FIRST STATE BANK,111309030,$232538463.90,US
20,FAIRFAX,UNITED BANK,056004445,$625426632.73,US
21,MT VERNON,FIRST NATIONAL BANK,111904192,$778689478.91,US
22,RICHMOND,BANK OF AMERICA,101901820,$482612530.75,US
23,MARSHALLTOWN,PINNACLE BANK,073920777,$440335031.58,US
24,MILFORD,FARMERS & MERCHANTS BANK,104903362,$462420973.60,US
25,VIVIAN,CITIZENS BANK,111101694,$782261010.77,US
26,RACELAND,UNITED COMMUNITY BANK,065405226,$336338956.43,US
27,ONTARIO,CITIZENS BUSINESS BANK,122240104,$615136956.12,US
28,JACKSON,TRUSTMARK NATIONAL BANK,084006729,$490966040.27,US
29,SPOKANE VALLEY,HORIZON CREDIT UNION,292977831,$469823638.93,US
30,ELBERTON,PINNACLE BANK,061110382,$546947195.99,US
31,"SEYMOUR,",FIRST BANK & TRUST,111304051,$283290293.64,US
32,LAFAYETTE,IBERIABANK,062004099,$927558184.84,US
33,MIAMI,CAPITAL BANK,053112136,$223071607.31,US
34,OLYMPIA,HERITAGE BANK,125108683,$728189939.57,US
35,BLUEFIELD,FIRST COMMUNITY BANK,053111836,$776908150.19,US
36,TOPEKA,COMMUNITY BANK,101106751,$436734674.43,US
37,NAPERVILLE,BMO HARRIS BANK,071921396,$617133603.45,US
38,BROOKINGS,FIRST BANK,091409746,$105821711.95,US
39,WABASHA,FIRST STATE BANK,091901684,$825410917.30,US
40,HENRICO,BANK OF AMERICA,112200303,$332974011.88,US
41,PINE BLUFF,SIMMONS FIRST NATL BK,081017711,$383785606.85,US
42,LONGVIEW,COMMUNITY BANK,111901959,$61000331.06,US
43,CONWAY,CENTENNIAL BANK,063107623,$72367316.56,US
44,PORTLAND,UMPQUA BANK,121141107,$20554679.21,US
45,BOSOBEL,COMMUNITY FIRST BANK,075918295,$481178293.15,US
46,MURRIETTA,COMMERCE BANK,122244731,$791204537.68,US
47,SEVIERVILLE,CITIZENS NATIONAL BANK,064202255,$947013810.30,US
48,ALBANY,KEY BANK,124101555,$182535511.46,US
49,NAPERVILLE,BMO HARRIS BANK,071923747,$262923314.50,US
50,MONTEBELLO,STERLING NATIONAL BANK,021912410,$155997916.40,US
51,LEWISTON,TD BANK,011600033,$455139880.25,US
52,SHERIDAN,PEOPLES BANK,082908780,$443641148.65,US
53,FITZGERALD,COMMUNITY BANK,061204913,$725899367.77,US
54,HENRICO,BANK OF AMERICA,103000017,$404387573.37,US
55,ST. PAUL,US BANK,081517693,$431335030.31,US
56,FALFURRIAS,FIRST NATIONAL BANK,114919676,$848802874.68,US
57,RUTHER GLEN,UNION BANK & TRUST,251473787,$181293101.92,US
58,DEXTER,FIRST MIDWEST BANK,081519507,$9671843.31,US
59,MINNEAPOLIS,WELLS FARGO BANK,092905168,$838128139.18,US
60,MURRIETTA,COMMERCE BANK,122244731,$624550141.83,US
61,PETTSFIELD,BERKSHIRE BANK,031207911,$16818398.99,US
62,LOS ANGELES,BANK OF THE WEST,091300036,$755958049.76,US
63,BELDING,INDEPENDENT BANK,072407000,$577571898.32,US
64,KANSAS CITY,UMB,081009813,$519129312.53,US
65,BELLEVUE,FIRST NATIONAL BANK,041204726,$668216571.36,US
66,BROWNSBORO,FIRST STATE BANK,111917590,$697497029.20,US
67,NEWTON,FIRST BANK,101100854,$630574986.93,US
68,RICHMOND,BANK OF AMERICA,054000551,$782233155.65,US
69,QUINTON,FARMERS STATE BANK,103104874,$406796019.22,US
70,CONWAY,CENTENNIAL BANK,067014110,$822677021.81,US
71,TALLAHASSEE,CAPITAL CITY BANK,063101399,$234425289.38,US
72,LOS ANGELES,BANK OF HOPE,125008657,$707433112.19,US
73,TUPELO,BANCORPSOUTH BANK,082001881,$397460092.17,US
74,GENESEO,CENTRAL BANK,071105002,$78477592.47,US
75,CHAS,SOUTH STATE BANK,261190490,$798634934.73,US
76,MEMPHIS,FIRST TENNESSEE BANK,064107091,$822314510.72,US
77,EL MONTE,EAST WEST BANK,122242102,$901999508.71,US
78,SUGAR LAND,PROSPERITY BANK,114902874,$532305439.01,US
79,ST PAUL,US BANK,322284892,$872242283.64,US
80,OMAHA,FIRST NATIONAL BANK,071902629,$767551410.96,US
81,TAMPA,JPMORGAN CHASE,021202719,$350878584.81,US
82,THOMASVILLE,BANK OF NORTH CAROLINA,253170020,$78678495.42,US
83,FARGO,UNION STATE BANK,091310576,$298740686.10,US
84,PINE BLUFF,SIMMONS FIRST NATL BK,082901062,$15901168.32,US
85,NORTH CHICAGO,GREAT LAKES CREDIT UNION,271080325,$840753939.63,US
86,MINNEAPOLIS,WELLS FARGO BANK,113024520,$318509961.61,US
87,TUPELO,BANCORP SOUTH,082900966,$402241700.05,US
88,ATLANTA,FEDERAL RESERVE BANK,051000033,$943645698.89,US
89,BIRMINGHAM,COMPASS BANK,114016142,$293554674.21,US
90,CLEWISTON,FIRST BANK,067003778,$663178382.98,US
91,HAYWARD,PEOPLES BANK,091818117,$896028118.41,US
92,LAKELAND,FARMERS & MERCHANTS BANK,061203642,$131129588.64,US
93,CHICAGO,BYLINE BANK,071002707,$883402892.50,US
94,BUFFALO,HSBC BANK,021301869,$429816037.47,US
95,NEW ORLEANS,WHITNEY BANK,263290220,$807976306.37,US
96,IDA GROVE,UNITED BANK,073912073,$583823256.96,US
97,CONWAY,CENTENNIAL BANK,082903044,$767323820.18,US
98,BIRMINGHAM,COMPASS BANK,122220506,$448875168.66,US
99,KANSAS CITY,NBH BANK,101000789,$19329420.02,US
100,ROSEMONT,M B FINANCIAL BANK,071002503,$589332167.65,US
101,STORM LAKE,CENTRAL BANK,073921226,$237908851.26,US
102,MONTICELLO,CITIZENS STATE BANK,073921190,$660599971.24,US
103,HARBOR SPRINGS,FIRST COMMUNITY BANK,072413719,$785180070.26,US
104,WILSON,BRANCH BANKING & TRUST COMPANY,031904395,$635811165.07,US
105,FARGO,CORNERSTONE BANK,091300719,$36662428.74,US
106,LAS CRUCES,CITIZENS BANK,112207209,$259518636.79,US
107,PORTLAND,UMPQUA BANK,123206781,$492859148.82,US
108,ST PAUL,US BANK,071001041,$163143549.29,US
109,ROUNDUP,FIRST SECURITY BANK,092901256,$478720283.01,US
110,PINE BLUFF,SIMMONS FIRST NATIONAL BANK,082907888,$265844942.76,US
111,FRISCO,FIRST NATIONAL BANK,111924392,$912168342.22,US
112,SAN ANTONIO,INTERNATIONAL BANK OF COMMERCE,113000861,$162650963.16,US
113,SAN JUAN,BANCO POPULAR,021502011,$770874746.54,US
114,RICHMOND,BANK OF AMERICA,063107393,$253828146.85,US
115,PINE BLUFF,SIMMONS FIRST NATL BK,082906494,$965924051.53,US
116,BAINBRIDGE,FIRST NATIONAL BANK,061203338,$494595008.68,US
117,PINE BLUFF,SIMMONS FIRST NATL BK,081017342,$548566567.78,US
118,TALLAHASSEE,CAPITAL CITY BANK,061211647,$463931662.98,US
119,ITASCA,FIRST MIDWEST BANK,071922670,$590329220.61,US
120,READING,SANTANDER BANK,011075202,$713545801.88,US
121,LEBANON,FIRST TENNESSEE BANK,064107376,$554855716.67,US
122,ALBANY,KEYBANK,031302272,$39695707.84,US
123,CARROLL,FARMERS STATE BANK,104113628,$933949165.00,US
124,MAGNOLIA,FARMERS BANK,082901839,$18473706.73,US
125,MIAMI,CAPITAL BANK,053110633,$695206169.10,US
126,TALLAHASSEE,CAPITAL CITY BANK,063100882,$394335076.73,US
127,MOORESVILLE,CITIZENS BANK,074905225,$389514690.33,US
128,OAK GROVE,COMMERCIAL BANK,101206389,$634985724.29,US
129,ITASCA,FIRST MIDWEST BANK,071911788,$599048850.78,US
130,ALEXANDRIA,PENTAGON FEDERAL CREDIT UNION,311981562,$977840960.84,US
131,BRITT,FIRST STATE BANK,073920874,$25317399.91,US
132,PITTSBURGH,PNC BANK,031300562,$591158093.91,US
133,DUNCAN,FIRST BANK & TRUST,103101725,$471250137.77,US
134,TUPELO,RENASANT BANK,084202879,$18603852.45,US
135,PITTSBURGH,PNC BANK,063114548,$878077427.17,US
136,FT.LAUDERDALE,STONEGATE BANK,067015258,$220623256.11,US
137,RUTHER GLEN,UNION BANK & TRUST,051402071,$853791574.31,US
138,CHANUTE,BANK OF COMMERCE,101105558,$968592094.88,US
139,LAKEWOOD,FIRST BANK,102006119,$347108365.81,US
140,ROGERSVILLE,FIRST COMMUNITY BANK,064204075,$236051867.75,US
141,RICHMOND,CAPITAL ONE,226070856,$40473966.61,US
142,BROOKINGS,FIRST BANK,091400606,$512494554.09,US
143,CINCINNATI,FIFTH THIRD BANK,072413175,$807510922.41,US
144,TAYLORSVILLE,THE PEOPLES BANK,083903690,$357876356.77,US
145,COLUMBUS,THE HUNTINGTON NATIONAL BANK,041205673,$581444173.70,US
146,CARUTHERSVILLE,FIRST STATE BANK,081517907,$441351450.44,US
147,FAYETTE,CITIZENS BANK,062204158,$735272066.16,US
148,LAFAYETTE,IBERIABANK,063112825,$375549239.84,US
149,CARTHAGE,CITIZENS BANK,064107729,$868305302.46,US
150,LAFAYETTE,IBERIABANK,084004284,$854921049.35,US
151,SPOKANE,BANNER BANK,124302257,$608810698.19,US
152,FLOYDADA,FIRST NATIONAL BANK,111308358,$421562256.57,US
153,PITTSBURGH,PNC BANK,062202082,$177244173.04,US
154,TAMPA,JPMORGAN CHASE,322270521,$998453747.51,US
155,CHICAGO,BYLINE BANK,071925871,$425409978.49,US
156,RICHMOND,BANK OF AMERICA,064101178,$672163426.26,US
157,DALEVILLE,FIRST MERCHANTS BANK,074913712,$60623762.89,US
158,MIDDLETON,FIRST FINANCIAL BANK,081074505,$835424095.41,US
159,NICHOLASVILLE,FARMERS BANK,042101792,$791957735.67,US
160,CHURCH POINT,FARMERS STATE BANK,065203499,$8587733.57,US
161,NORTH CHGO,GREAT LAKES CREDIT UNION,275079882,$666895391.64,US
162,PERHAM,UNITED COMMUNITY BANK,091210074,$790497354.87,US
163,BOONEVILLE,FARMERS STATE BANK,042107738,$629687596.59,US
164,INDIANA,S & T BANK,031311674,$222410589.46,US
165,RICHMOND,BANK OF AMERICA,067014026,$483486192.48,US
166,SYRACUSE,FIRST NATIONAL BANK,101103686,$950504235.35,US
167,HERMITAGE,FIRST NATIONAL BANK OF PENNSYLVANIA,055002480,$205100445.66,US
168,DALEVILLE,FIRST MERCHANTS BANK,074903353,$306712134.96,US
